N,p,q
100002,11,99991
100004,13,99991
100006,3,100003
100008,5,100003
100010,7,100003
100012,23,99989
100014,11,100003
100016,13,100003
100018,29,99989
100020,17,100003
100022,3,100019
100024,5,100019
100026,7,100019
100028,37,99991
100030,11,100019
100032,13,100019
100034,31,100003
100036,17,100019
100038,19,100019
100040,37,100003
100042,23,100019
100044,41,100003
100046,3,100043
100048,5,100043
100050,7,100043
100052,3,100049
100054,5,100049
100056,7,100049
100058,67,99991
100060,3,100057
100062,5,100057
100064,7,100057
100066,17,100049
100068,11,100057
100070,13,100057
100072,3,100069
100074,5,100069
100076,7,100069
100078,29,100049
100080,11,100069
100082,13,100069
100084,41,100043
100086,17,100069
100088,19,100069
100090,41,100049
100092,23,100069
100094,37,100057
100096,47,100049
100098,29,100069
100100,31,100069
100102,53,100049
100104,47,100057
100106,3,100103
100108,5,100103
100110,7,100103
100112,3,100109
100114,5,100109
100116,7,100109
100118,61,100057
100120,11,100109
100122,13,100109
100124,67,100057
100126,17,100109
100128,19,100109
100130,61,100069
100132,3,100129
100134,5,100129
100136,7,100129
100138,29,100109
100140,11,100129
100142,13,100129
100144,41,100103
100146,17,100129
100148,19,100129
100150,41,100109
100152,23,100129
100154,3,100151
100156,3,100153
100158,5,100153
100160,7,100153
100162,11,100151
100164,11,100153
100166,13,100153
100168,17,100151
100170,17,100153
100172,3,100169
100174,5,100169
100176,7,100169
100178,109,100069
100180,11,100169
100182,13,100169
100184,31,100153
100186,3,100183
100188,5,100183
100190,7,100183
100192,3,100189
100194,5,100189
100196,3,100193
100198,5,100193
100200,7,100193
100202,13,100189
100204,11,100193
100206,13,100193
100208,19,100189
100210,3,100207
100212,5,100207
100214,7,100207
100216,3,100213
100218,5,100213
100220,7,100213
100222,29,100193
100224,11,100213
100226,13,100213
100228,59,100169
100230,17,100213
100232,19,100213
100234,41,100193
100236,23,100213
100238,31,100207
100240,3,100237
100242,5,100237
100244,7,100237
100246,53,100193
100248,11,100237
100250,13,100237
100252,59,100193
100254,17,100237
100256,19,100237
100258,89,100169
100260,23,100237
100262,73,100189
100264,71,100193
100266,29,100237
100268,31,100237
100270,3,100267
100272,5,100267
100274,3,100271
100276,5,100271
100278,7,100271
100280,13,100267
100282,3,100279
100284,5,100279
100286,7,100279
100288,17,100271
100290,11,100279
100292,13,100279
100294,3,100291
100296,5,100291
100298,7,100291
100300,3,100297
100302,5,100297
100304,7,100297
100306,113,100193
100308,11,100297
100310,13,100297
100312,41,100271
100314,17,100297
100316,3,100313
100318,5,100313
100320,7,100313
100322,31,100291
100324,11,100313
100326,13,100313
100328,31,100297
100330,17,100313
100332,19,100313
100334,37,100297
100336,3,100333
100338,5,100333
100340,7,100333
100342,29,100313
100344,11,100333
100346,3,100343
100348,5,100343
100350,7,100343
100352,19,100333
100354,11,100343
100356,13,100343
100358,61,100297
100360,3,100357
100362,5,100357
100364,3,100361
100366,3,100363
100368,5,100363
100370,7,100363
100372,11,100361
100374,11,100363
100376,13,100363
100378,17,100361
100380,17,100363
100382,3,100379
100384,5,100379
100386,7,100379
100388,31,100357
100390,11,100379
100392,13,100379
100394,3,100391
100396,3,100393
100398,5,100393
100400,7,100393
100402,11,100391
100404,11,100393
100406,3,100403
100408,5,100403
100410,7,100403
100412,19,100393
100414,3,100411
100416,5,100411
100418,7,100411
100420,3,100417
100422,5,100417
100424,7,100417
100426,23,100403
100428,11,100417
100430,13,100417
100432,29,100403
100434,17,100417
100436,19,100417
100438,47,100391
100440,23,100417
100442,31,100411
100444,41,100403
100446,29,100417
100448,31,100417
100450,3,100447
100452,5,100447
100454,7,100447
100456,53,100403
100458,11,100447
100460,13,100447
100462,3,100459
100464,5,100459
100466,7,100459
100468,89,100379
100470,11,100459
100472,3,100469
100474,5,100469
100476,7,100469
100478,19,100459
100480,11,100469
100482,13,100469
100484,37,100447
100486,3,100483
100488,5,100483
100490,7,100483
100492,23,100469
100494,11,100483
100496,3,100493
100498,5,100493
100500,7,100493
100502,19,100483
100504,3,100501
100506,5,100501
100508,7,100501
100510,17,100493
100512,11,100501
100514,3,100511
100516,5,100511
100518,7,100511
100520,3,100517
100522,3,100519
100524,5,100519
100526,3,100523
100528,5,100523
100530,7,100523
100532,13,100519
100534,11,100523
100536,13,100523
100538,19,100519
100540,3,100537
100542,5,100537
100544,7,100537
100546,23,100523
100548,11,100537
100550,3,100547
100552,3,100549
100554,5,100549
100556,7,100549
100558,11,100547
100560,11,100549
100562,3,100559
100564,5,100559
100566,7,100559
100568,19,100549
100570,11,100559
100572,13,100559
100574,37,100537
100576,17,100559
100578,19,100559
100580,31,100549
100582,23,100559
100584,37,100547
100586,37,100549
100588,29,100559
100590,31,100559
100592,43,100549
100594,3,100591
100596,5,100591
100598,7,100591
100600,41,100559
100602,11,100591
100604,13,100591
100606,47,100559
100608,17,100591
100610,19,100591
100612,3,100609
100614,5,100609
100616,3,100613
100618,5,100613
100620,7,100613
100622,13,100609
100624,3,100621
100626,5,100621
100628,7,100621
100630,17,100613
100632,11,100621
100634,13,100621
100636,23,100613
100638,17,100621
100640,19,100621
100642,29,100613
100644,23,100621
100646,37,100609
100648,89,100559
100650,29,100621
100652,3,100649
100654,5,100649
100656,7,100649
100658,37,100621
100660,11,100649
100662,13,100649
100664,43,100621
100666,17,100649
100668,19,100649
