N,sigma_trunc_Q0,sigma_model
1000000,1.7604309799873963,0.0011001636607006079
1000002,2.6406469021995114,0.0016502457611614707
1000004,1.3617092766591268,0.0008509865366207128
1000006,1.5843876588875812,0.0009901471552057706
1000008,3.0552056125995524,0.0019093200637577007
1000010,1.9562231085587032,0.0012225219850848534
1000012,1.4404046819194198,0.0009001664397897094
1000014,2.6406469021995114,0.0016502457611614707
1000016,1.3203238032220197,0.0008251231006360079
1000018,1.3203238032220197,0.0008251231006360079
1000020,4.226609509038432,0.002641377164272019
1000022,1.333202756474564,0.0008331716731261447
1000024,1.3203238032220197,0.0008251231006360079
1000026,2.6410520229148533,0.0016504989372838424
1000028,1.3203238032220197,0.0008251231006360079
1000030,1.7604309799873963,0.0011001636607006079
1000032,2.9371403168818144,0.0018355363429443708
1000034,1.6126415885608758,0.0010078041647971219
1000036,1.4145231572246062,0.000883992040863281
1000038,2.8808616024338503,0.0018003655255647314
1000040,1.8460007841855162,0.0011536396504452963
1000042,1.433300872577235,0.0008957269854858131
1000044,2.640682903207493,0.001650268259629846
1000046,1.3980277927991758,0.0008736834285307476
1000048,1.5845836933871946,0.0009902696649975035
1000050,3.614914418532605,0.002259104460795568
1000052,1.3203238032220197,0.0008251231006360079
1000054,1.4826497658085556,0.0009265670806932276
1000056,2.6406469021995114,0.0016502457611614707
1000058,1.3203238032220197,0.0008251231006360079
1000060,1.8222848473252389,0.0011388186138867747
1000062,3.169092064287882,0.001980492257963538
1000064,1.4428096193877196,0.0009016693813074163
1000066,1.3498515179518602,0.0008435761494056547
1000068,2.6406469021995114,0.0016502457611614707
1000070,1.7807426235002004,0.001112857218321397
1000072,1.3546403754882224,0.0008465688978278709
1000074,2.6406469021995114,0.0016502457611614707
1000076,1.887714560408509,0.001179708255958852
1000078,1.3240540155279124,0.000827454259353557
1000080,3.52864087785914,0.0022051886780083316
1000082,1.3203238032220197,0.0008251231006360079
1000084,1.398141801995021,0.0008737546774326814
1000086,2.7667379793579543,0.0017290451134821783
1000088,1.330872172352951,0.000831715197985709
1000090,2.3196209543712656,0.0014496238191725073
1000092,2.6406469021995114,0.0016502457611614707
1000094,1.4061505772334277,0.0008787596810847287
1000096,1.3203238032220197,0.0008251231006360079
1000098,2.934535553453333,0.001833908522199727
1000100,1.7984603666347905,0.0011239297439517078
1000102,1.333949911342103,0.0008336386000568374
1000104,3.169186599445996,0.001980551336761172
1000106,1.3397067523686739,0.0008372362800396726
1000108,1.3203238032220197,0.0008251231006360079
1000110,3.93892923610424,0.002461594266913046
1000112,1.3203238032220197,0.0008251231006360079
1000114,1.3203238032220197,0.0008251231006360079
1000116,2.8820605147711116,0.0018011147737890668
1000118,1.5843876588875812,0.0009901471552057706
1000120,1.9569399813277557,0.0012229699875222241
1000122,2.9026689664884597,0.0018139938187164014
1000124,1.3203238032220197,0.0008251231006360079
1000126,1.3277488057290634,0.0008297632813824969
1000128,2.6411150220209314,0.0016505383079424775
1000130,1.7796909816182906,0.001112200005289077
1000132,1.6609264765206384,0.0010379793205960225
1000134,2.6407009007953905,0.0016502795070416504
1000136,1.3203238032220197,0.0008251231006360079
1000138,1.3203238032220197,0.0008251231006360079
1000140,3.583694126285946,0.0022395936527055665
1000142,1.6063552897533269,0.0010038756054914792
1000144,1.4087288335478703,0.0008803709364746683
1000146,3.168819001827599,0.001980321610321387
1000148,1.3203238032220197,0.0008251231006360079
1000150,1.7895756863837848,0.0011183773522588675
1000152,2.7441801576760003,0.001714947829373245
1000154,1.3543417180951438,0.0008463822548895224
1000156,1.3430451970318311,0.0008393226075034688
1000158,2.6406469021995114,0.0016502457611614707
1000160,2.2865124936462498,0.001428933019155084
1000162,1.326791045047203,0.0008291647384632861
1000164,2.9343828176046918,0.001833813071465065
1000166,1.3203238032220197,0.0008251231006360079
1000168,1.4747331321697772,0.0009216196600084777
1000170,3.521044141669186,0.002200441174021452
1000172,1.3203238032220197,0.0008251231006360079
1000174,1.5968674235374425,0.0009979462587877649
1000176,2.6898927914823254,0.0016810214850857483
1000178,1.476516027580801,0.0009227338625897412
1000180,1.8049590453276403,0.0011279910279337097
1000182,2.6724829867369997,0.001670141402459142
1000184,1.4180173609895994,0.0008861757084134603
1000186,1.467367380186514,0.0009170165072817643
1000188,3.1687770044315116,0.001980295364470487
1000190,1.7604309799873963,0.0011001636607006079
1000192,1.3206848076086586,0.0008253487067018227
1000194,2.8808615780959035,0.0018003655103549761
1000196,1.3203238032220197,0.0008251231006360079
1000198,1.398027787023707,0.0008736834249214263
1000200,3.5229954266402856,0.002201660609967126
1000202,1.5843876588875812,0.0009901471552057706
1000204,1.3203238032220197,0.0008251231006360079
1000206,2.664092907587806,0.0016648981067575344
1000208,1.4673231684998496,0.0009169888776322073
1000210,1.8261230488465419,0.0011412172593799445
1000212,2.8172880604953683,0.0017606358790078157
1000214,1.3203238032220197,0.0008251231006360079
1000216,1.6202287733767242,0.00101254569974868
1000218,2.6406469021995114,0.0016502457611614707
1000220,1.9209139744883152,0.0012004558963618949
1000222,1.3203238032220197,0.0008251231006360079
1000224,2.785049363238356,0.0017404886289345712
1000226,1.3203238032220197,0.0008251231006360079
1000228,1.3203238032220197,0.0008251231006360079
1000230,4.705332704718577,0.002940550417531589
1000232,1.3203238032220197,0.0008251231006360079
1000234,1.3250379214937482,0.0008280691415054076
1000236,2.8951698797498127,0.0018093073397734097
1000238,1.3203238032220197,0.0008251231006360079
1000240,1.7605909671873963,0.0011002636430944752
1000242,2.6407008949643234,0.0016502795033975833
1000244,1.602172259561908,0.0010012614627840806
1000246,1.6117011440569344,0.0010072164434493929
1000248,2.6834702211547308,0.001677007764262246
1000250,1.7608616431818411,0.0011004327993387685
1000252,1.4870750884493544,0.0009293326416334909
1000254,2.700149931892583,0.001687431581971313
1000256,1.3203877950308063,0.0008251630916742308
1000258,1.6305368260620872,0.001018987613749253
1000260,3.521359189359539,0.002200638059911472
1000262,1.3240588183805364,0.0008274572608480687
1000264,1.3352354503263149,0.0008344419847341816
1000266,2.70580418783637,0.0016909651524369383
1000268,1.369426780625945,0.0008558095132168569
1000270,1.8446582359807118,0.001152800638428094
1000272,3.472148391075547,0.002169884265754485
1000274,1.553922960806644,0.0009711085481011044
1000276,1.3328177870950693,0.000832931090378728
1000278,2.6883715839865108,0.001680070821738928
1000280,1.879097345034299,0.0011743230137545798
1000282,1.3251971984045905,0.0008281686800111994
1000284,2.6406469021995114,0.0016502457611614707
1000286,1.6216367498046291,0.0010134256004768044
1000288,1.3203238032220197,0.0008251231006360079
1000290,3.5208641398706253,0.0022003286837052236
1000292,1.3203238032220197,0.0008251231006360079
1000294,1.3244593942679672,0.0008277075967258817
1000296,2.9411606846364777,0.0018380488313955595
1000298,1.4620720393497944,0.0009137072372076689
1000300,2.114087129808365,0.001321177519715464
