B,omega1,omega2,min_eig,epsilon,verdict
4.0,0.5,0.7,-658.2431937376941,274.0878345110324,KILL
4.0,0.5,0.9,-639.1147389960713,274.0878345110324,KILL
4.0,0.5,1.1,-637.1468781794995,274.0878345110324,KILL
4.0,0.5,1.3,-637.1550084225112,274.0878345110324,KILL
4.0,0.7,0.9,-644.7756879320759,274.0878345110324,KILL
4.0,0.7,1.1,-643.1674690457576,274.0878345110324,KILL
4.0,0.7,1.3,-643.163596139032,274.0878345110324,KILL
4.0,0.9,1.1,-625.10393016965,274.0878345110324,KILL
4.0,0.9,1.3,-625.1081144873388,274.0878345110324,KILL
4.0,1.1,1.3,-623.3920196000104,274.0878345110324,KILL
6.0,0.5,0.7,-4543.335167862809,643.3700417616083,KILL
6.0,0.5,0.9,-4501.9624182647785,643.3700417616083,KILL
6.0,0.5,1.1,-4502.261103869956,643.3700417616083,KILL
6.0,0.5,1.3,-4501.921446194063,643.3700417616083,KILL
6.0,0.7,0.9,-4287.168315142872,643.3700417616083,KILL
6.0,0.7,1.1,-4286.8671369817785,643.3700417616083,KILL
6.0,0.7,1.3,-4286.812607157596,643.3700417616083,KILL
6.0,0.9,1.1,-4269.571839217404,643.3700417616083,KILL
6.0,0.9,1.3,-4269.5521101852655,643.3700417616083,KILL
6.0,1.1,1.3,-4269.556795055176,643.3700417616083,KILL
8.0,0.5,0.7,-11529.446784654328,1121.8292297541498,KILL
8.0,0.5,0.9,-11518.190995923593,1121.8292297541498,KILL
8.0,0.5,1.1,-11518.133233339337,1121.8292297541498,KILL
8.0,0.5,1.3,-11518.101589200647,1121.8292297541498,KILL
8.0,0.7,0.9,-11355.10813910434,1121.8292297541498,KILL
8.0,0.7,1.1,-11355.069593671302,1121.8292297541498,KILL
8.0,0.7,1.3,-11355.069286166905,1121.8292297541498,KILL
8.0,0.9,1.1,-11353.74732991292,1121.8292297541498,KILL
8.0,0.9,1.3,-11353.747269658907,1121.8292297541498,KILL
8.0,1.1,1.3,-11353.746070148543,1121.8292297541498,KILL
12.0,0.5,0.7,-28980.535445592734,2443.405565292578,KILL
12.0,0.5,0.9,-28980.473989461316,2443.405565292578,KILL
12.0,0.5,1.1,-28980.473799803938,2443.405565292578,KILL
12.0,0.5,1.3,-28980.47379901202,2443.405565292578,KILL
12.0,0.7,0.9,-28976.88320399142,2443.405565292578,KILL
12.0,0.7,1.1,-28976.88320191767,2443.405565292578,KILL
12.0,0.7,1.3,-28976.883201917037,2443.405565292578,KILL
